epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,690.044,0.40482,0.76906,0.29842,0.78843,0.70244,0.78186,0.58055,0.35662,0.57836,0.32439,0.000333003,0.000333003,0.000333003
2,1377.96,0.39532,0.6797,0.28808,0.79265,0.64683,0.72414,0.52605,0.37393,0.70071,0.33121,0.000644347,0.000644347,0.000644347
3,2060.38,0.41178,0.71832,0.30262,0.76817,0.60353,0.68857,0.48408,0.36557,0.67025,0.33869,0.000933691,0.000933691,0.000933691
4,2744.42,0.41398,0.71867,0.30113,0.79634,0.65507,0.75844,0.54575,0.36181,0.64601,0.32435,0.000901,0.000901,0.000901
5,3422.24,0.39554,0.69628,0.28979,0.81915,0.62746,0.74111,0.5432,0.3733,0.63329,0.33789,0.000868,0.000868,0.000868
6,4090.54,0.39882,0.71384,0.29565,0.76921,0.59986,0.6917,0.49812,0.3785,0.69409,0.3263,0.000835,0.000835,0.000835
7,4751.7,0.39955,0.69711,0.29139,0.83599,0.69693,0.79326,0.59303,0.35661,0.59307,0.32557,0.000802,0.000802,0.000802
8,5450.72,0.37999,0.65629,0.27943,0.83316,0.706,0.79432,0.59946,0.34131,0.58647,0.29231,0.000769,0.000769,0.000769
9,6121,0.37125,0.64103,0.26767,0.85764,0.73031,0.81659,0.62268,0.34415,0.563,0.3142,0.000736,0.000736,0.000736
10,6786.4,0.36369,0.62198,0.26391,0.80525,0.73224,0.80241,0.59465,0.34233,0.55583,0.32302,0.000703,0.000703,0.000703
11,7451.96,0.35371,0.60987,0.25547,0.87329,0.73135,0.82498,0.62433,0.33602,0.54522,0.29721,0.00067,0.00067,0.00067
12,8153.54,0.35217,0.59877,0.25693,0.82252,0.74274,0.81142,0.60738,0.33461,0.55144,0.31385,0.000637,0.000637,0.000637
13,8819.61,0.3432,0.58973,0.24792,0.85212,0.74557,0.82352,0.62317,0.33804,0.54832,0.31401,0.000604,0.000604,0.000604
14,9489.48,0.34407,0.58406,0.246,0.84913,0.75958,0.84038,0.64955,0.33284,0.51514,0.29078,0.000571,0.000571,0.000571
15,10164.4,0.33801,0.57094,0.24598,0.86234,0.73994,0.82905,0.63911,0.33772,0.51654,0.29603,0.000538,0.000538,0.000538
16,10835.4,0.33309,0.56433,0.24094,0.85882,0.77341,0.84947,0.65961,0.31372,0.51043,0.26754,0.000505,0.000505,0.000505
17,11504.7,0.32634,0.55082,0.23494,0.88987,0.76364,0.8579,0.66957,0.32171,0.49446,0.28389,0.000472,0.000472,0.000472
18,12177.9,0.32616,0.53765,0.23283,0.89915,0.77394,0.86177,0.67204,0.31771,0.50671,0.27257,0.000439,0.000439,0.000439
19,12852.7,0.32148,0.53246,0.22911,0.89519,0.78921,0.86167,0.67863,0.31959,0.49486,0.26925,0.000406,0.000406,0.000406
20,13516.6,0.31282,0.52105,0.22227,0.8872,0.77156,0.85398,0.67274,0.32116,0.49485,0.27553,0.000373,0.000373,0.000373
21,14179.9,0.2761,0.43439,0.21923,0.8829,0.7749,0.85714,0.67374,0.32117,0.47846,0.2689,0.00034,0.00034,0.00034
22,14842.1,0.27001,0.42423,0.21143,0.91167,0.77017,0.87107,0.68845,0.30394,0.47307,0.2527,0.000307,0.000307,0.000307
23,15501.9,0.26363,0.40959,0.20285,0.89151,0.78723,0.87529,0.69565,0.30855,0.47173,0.2629,0.000274,0.000274,0.000274
24,16175.1,0.25577,0.39578,0.19334,0.89903,0.79082,0.88164,0.69798,0.30474,0.47355,0.25967,0.000241,0.000241,0.000241
25,16855.4,0.25426,0.38534,0.19015,0.91302,0.79763,0.87987,0.70077,0.30499,0.46885,0.25596,0.000208,0.000208,0.000208
26,17531.8,0.24815,0.37376,0.18242,0.9141,0.80406,0.881,0.70089,0.30776,0.45803,0.25474,0.000175,0.000175,0.000175
27,18231.2,0.24166,0.36748,0.17644,0.90168,0.81146,0.88818,0.70603,0.30934,0.45688,0.26453,0.000142,0.000142,0.000142
28,18936.1,0.23989,0.35293,0.17322,0.9012,0.80046,0.87943,0.70458,0.30355,0.45686,0.2518,0.000109,0.000109,0.000109
29,19627.4,0.23206,0.34299,0.1662,0.89884,0.81867,0.88129,0.70623,0.30224,0.46446,0.25679,7.6e-05,7.6e-05,7.6e-05
30,20310.2,0.2301,0.33624,0.16485,0.90263,0.81668,0.89112,0.7145,0.30695,0.45333,0.26161,4.3e-05,4.3e-05,4.3e-05
