epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.541,1.02555,1.00219,1.26034,0.71066,0.60563,0.68314,0.45377,1.18947,1.19161,1.36894,0.000332672,0.000332672,0.000332672
2,311.267,1.21288,1.31137,1.40153,0.6882,0.50345,0.59229,0.35525,1.42438,1.39555,1.50759,0.000652818,0.000652818,0.000652818
3,460.889,1.25566,1.39216,1.43874,0.64952,0.5631,0.61225,0.36455,1.35014,1.33671,1.49525,0.000959765,0.000959765,0.000959765
4,611.574,1.24651,1.37846,1.43001,0.72324,0.57872,0.64343,0.40328,1.31829,1.27748,1.44285,0.0009406,0.0009406,0.0009406
5,762.327,1.18855,1.2899,1.39387,0.77492,0.57877,0.66657,0.43232,1.2326,1.16427,1.38324,0.0009208,0.0009208,0.0009208
6,912.544,1.16194,1.24361,1.37793,0.75694,0.64437,0.71182,0.46715,1.20363,1.14397,1.35851,0.000901,0.000901,0.000901
7,1063.13,1.13244,1.19691,1.35782,0.71963,0.67156,0.71794,0.48314,1.17493,1.0729,1.33277,0.0008812,0.0008812,0.0008812
8,1214.44,1.10674,1.14798,1.3366,0.7197,0.64206,0.71791,0.48446,1.15032,1.03069,1.31743,0.0008614,0.0008614,0.0008614
9,1365.02,1.08276,1.11232,1.31853,0.79496,0.63183,0.74225,0.51581,1.1526,1.02548,1.32241,0.0008416,0.0008416,0.0008416
10,1514.39,1.07652,1.08402,1.30663,0.80477,0.65865,0.76197,0.53463,1.09342,0.96196,1.26607,0.0008218,0.0008218,0.0008218
11,1663.47,1.05086,1.05278,1.2925,0.79278,0.68943,0.76727,0.53354,1.0805,0.95419,1.25623,0.000802,0.000802,0.000802
12,1812.08,1.03784,1.01614,1.28197,0.80024,0.69451,0.77596,0.5428,1.09912,0.91181,1.2602,0.0007822,0.0007822,0.0007822
13,1961.4,1.02199,1.00146,1.27471,0.81881,0.70788,0.79147,0.56256,1.08131,0.90072,1.25512,0.0007624,0.0007624,0.0007624
14,2111.39,1.01725,0.98566,1.27046,0.80391,0.70086,0.78811,0.56058,1.07212,0.89363,1.24457,0.0007426,0.0007426,0.0007426
15,2260.89,1.00337,0.97439,1.26357,0.86485,0.6902,0.79288,0.56363,1.05941,0.87734,1.23284,0.0007228,0.0007228,0.0007228
16,2410.43,0.98675,0.95066,1.24903,0.84871,0.70349,0.79468,0.57363,1.04311,0.88081,1.22147,0.000703,0.000703,0.000703
17,2560.1,0.97906,0.93662,1.24138,0.87078,0.70805,0.80489,0.57915,1.02909,0.84799,1.20616,0.0006832,0.0006832,0.0006832
18,2709.27,0.96962,0.9087,1.23319,0.86253,0.7097,0.81485,0.59433,1.01125,0.82827,1.20289,0.0006634,0.0006634,0.0006634
19,2858.08,0.95705,0.89496,1.22558,0.83731,0.72861,0.81623,0.60352,1.00454,0.82795,1.1878,0.0006436,0.0006436,0.0006436
20,3005.42,0.94836,0.88133,1.22176,0.85189,0.72102,0.82007,0.60602,1.0315,0.81136,1.19482,0.0006238,0.0006238,0.0006238
21,3155.48,0.94087,0.86624,1.21178,0.83985,0.73084,0.81533,0.6058,0.98845,0.79209,1.17735,0.000604,0.000604,0.000604
